Название;Ключ события;Описание;Группа;Пример данных JSON
Запуск приложения;app_started;Приложение успешно запустилось;Приложение;"{\"app_version\":\"1.0.0\",\"build\":45,\"platform\":\"android\",\"launch_type\":\"cold\"}"
Завершение сессии;app_session_ended;Игра выгружена или ушла в фон;Сессия;"{\"session_id\":\"...\",\"duration_sec\":842,\"reason\":\"background\"}"
Первый запуск;first_launch;Первый запуск на устройстве;Онбординг;"{\"app_version\":\"1.0.0\",\"platform\":\"android\"}"
Экран открыт;screen_view;Открыт игровой экран или поп-ап;UI;"{\"screen\":\"shop\",\"source\":\"main\"}"
Нажатие UI;ui_action;Значимое нажатие интерфейса;UI;"{\"screen\":\"main\",\"control\":\"open_inventory\"}"
Пакет тапов;tap_batch;Агрегация тапов за 30 секунд или при смене экрана;Тапы;"{\"count\":124,\"duration_sec\":30,\"spiritual_power_gained\":124,\"stage\":2}"
Прирост духовной силы;spiritual_power_gained;Агрегированный за 30 секунд прирост духовной силы;Прогрессия;"{\"amount\":18.5,\"source\":\"tick_batch\",\"occurrences\":30,\"stage\":3}"
Попытка прорыва;breakthrough_attempted;Игрок начал прорыв;Прогрессия;"{\"from_stage\":2,\"to_stage\":3,\"chance\":0.65}"
Успешный прорыв;breakthrough_succeeded;Игрок перешёл на новую стадию;Прогрессия;"{\"from_stage\":2,\"to_stage\":3,\"attempt_number\":2}"
Неудачный прорыв;breakthrough_failed;Прорыв не удался;Прогрессия;"{\"from_stage\":2,\"to_stage\":3,\"chance\":0.65}"
Смерть персонажа;character_died;Персонаж умер;Прогрессия;"{\"age_years\":83.5,\"stage\":4,\"cause\":\"longevity_expired\"}"
Изменение загрязнения;contamination_changed;Изменился процент загрязнения персонажа;Загрязнение;"{\"before\":0.23,\"after\":0.41,\"source\":\"pill\",\"level\":2}"
Смена уровня загрязнения;contamination_level_changed;Персонаж перешёл на другой уровень дебафа;Загрязнение;"{\"before_level\":1,\"after_level\":2,\"contamination\":0.51}"
Активный эффект добавлен;effect_added;На персонажа наложен эффект;Эффекты;"{\"effect_id\":\"contamination_level_2\",\"kind\":\"debuff\",\"duration_sec\":null}"
Активный эффект снят;effect_removed;Эффект закончился или был снят;Эффекты;"{\"effect_id\":\"pill_regeneration\",\"reason\":\"expired\"}"
Предмет получен;item_received;Предмет добавлен в инвентарь;Инвентарь;"{\"item_id\":\"purification_ingredient\",\"rarity\":\"rare\",\"quantity\":1,\"source\":\"mission_reward\",\"contamination\":0.34}"
Пилюля выпита;pill_consumed;Игрок использовал пилюлю;Пилюли;"{\"item_id\":\"purification_pill\",\"contamination\":0.2,\"effects\":[\"purification\"]}"
Очищение пилюлей;purification_applied;Пилюля снизила загрязнение;Пилюли;"{\"purified_percent\":0.31,\"contamination_added\":0.08,\"before\":0.55,\"after\":0.32}"
Лавка открыта;shop_opened;Игрок открыл лавку;Лавка;"{\"money\":12500,\"stage\":3,\"refresh_index\":2}"
Покупка совершена;shop_purchase_succeeded;Товар куплен;Лавка;"{\"item_id\":\"spirit_pill\",\"price\":2400,\"money_before\":5000,\"money_after\":2600,\"contamination\":0.4}"
Покупка не совершена;shop_purchase_failed;Покупка отклонена;Лавка;"{\"item_id\":\"spirit_pill\",\"price\":2400,\"money\":1000,\"reason\":\"not_enough_money\"}"
Алхимия открыта;alchemy_opened;Игрок открыл экран алхимии;Алхимия;"{\"inventory_ingredients\":12}"
Попытка крафта;alchemy_craft_attempted;Игрок нажал создание пилюли;Алхимия;"{\"ingredients\":[\"purification_ingredient\"],\"ingredients_count\":1}"
Крафт успешен;alchemy_craft_succeeded;Создана пилюля;Алхимия;"{\"result_item_id\":\"purification_pill\",\"result_contamination\":0.18,\"ingredients_count\":1}"
Крафт дал иной результат;alchemy_craft_alternate_result;Из-за смешивания создана другая пилюля;Алхимия;"{\"result_item_id\":\"health_pill\",\"expected_item_id\":\"purification_pill\"}"
Миссии открыты;missions_opened;Игрок открыл список миссий;Миссии;"{\"stage\":3,\"available_count\":6}"
